ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,res,oxd
pdb2d2x,8,7,7,8,8,8,2.162919521331787,2.197180986404419,2.2311744689941406,2.352357149124145,2.371623992919922,2.430690288543701,2.3,2
pdb4wgx,8,8,8,7,8,1,2.065717458724976,2.083240032196045,2.232001304626465,2.2986271381378174,2.4094555377960205,10.0,2.29,2
pdb4wgx,7,8,8,8,8,1,2.240643262863159,2.350231409072876,2.365394115447998,2.4364352226257324,2.473491907119751,10.0,2.29,2
pdb3w1r,7,7,7,7,7,7,2.023839235305786,2.03804087638855,2.0395352840423584,2.0739822387695312,2.076178550720215,2.079921007156372,1.58,2
pdb3r61,7,8,8,8,8,8,2.093069076538086,2.14061975479126,2.2020742893218994,2.256690740585327,2.277920246124268,2.431092500686645,1.9,2
pdb3r61,7,8,8,8,8,8,1.9403676986694336,2.0148584842681885,2.191593170166016,2.2060999870300293,2.390507221221924,2.403080701828003,1.9,2
pdb3ao0,7,7,7,7,7,1,1.88624906539917,1.8945940732955933,1.905101537704468,1.9070565700531008,2.3141520023345947,10.0,2.25,2
pdb3ao0,7,7,7,7,7,1,1.888343095779419,1.888781905174256,1.9032330513000488,1.912320017814636,2.415109395980835,10.0,2.25,2
pdb4q0q,8,7,7,8,8,7,2.134931802749634,2.1832590103149414,2.2012460231781006,2.305197238922119,2.3062572479248047,2.323268413543701,1.93,2
pdb4q0q,7,7,7,7,7,7,1.8029454946517944,1.8079429864883425,1.8086624145507808,1.8092947006225584,1.811698079109192,1.8149956464767456,1.93,3
pdb3igz,8,8,8,7,7,1,2.015162467956543,2.026282548904419,2.0475332736968994,2.0824978351593018,2.0838189125061035,10.0,1.9,2
pdb3igz,8,7,8,8,1,1,1.3879244327545166,1.986317157745361,2.1713595390319824,2.1966195106506348,10.0,10.0,1.9,2
pdb1dn8,7,7,7,7,7,7,1.9246631860733032,1.949438214302063,1.9805762767791748,1.9829206466674805,1.995523452758789,2.0064592361450195,1.5,3
pdb4ket,8,7,7,8,1,1,1.775654673576355,1.921125769615173,1.9220150709152224,1.992180109024048,10.0,10.0,2.0,2
pdb4ket,8,7,7,8,8,1,1.7721730470657349,1.9194456338882449,1.9200406074523928,1.9338797330856323,2.433354377746582,10.0,2.0,2
pdb4ket,8,7,7,8,1,1,1.7611258029937744,1.9152841567993164,1.9161953926086424,1.9500954151153564,10.0,10.0,2.0,2
