ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
GEGGAE.Cu(i).pdb,N,N,P,P,NE,NE,2.0679690837860107,2.069054365158081,2.2215893268585205,2.2565081119537354,100.0,100.0,1
PEVBUQ.Cu(i).pdb,N,N,N,N,NE,NE,2.0266172885894775,2.043793201446533,2.044607639312744,2.073591470718384,100.0,100.0,1
OZUKOK.Cu(i).pdb,N,N,P,CL,CL,NE,2.052899122238159,2.052899122238159,2.1779329776763916,2.3180935382843018,2.33180832862854,100.0,1
UKOKAH.Cu(i).pdb,N,P,P,NE,NE,NE,1.941260576248169,2.2689406871795654,2.2697906494140625,100.0,100.0,100.0,1
LOCGAM.Cu(i).pdb,N,N,N,CL,CL,NE,1.9426113367080688,2.0599451065063477,2.0625853538513184,2.2314555644989014,2.489049196243286,100.0,1
VUSVUA.Cu(i).pdb,N,N,NE,NE,NE,NE,1.8532190322875977,1.855291724205017,100.0,100.0,100.0,100.0,1
CUGYAH.Cu(i).pdb,N,N,S,S,NE,NE,1.9446042776107788,1.9586468935012817,2.374586343765259,2.417147397994995,100.0,100.0,1
FEHWEW.Cu(i).pdb,N,N,P,P,NE,NE,2.043339252471924,2.0842337608337402,2.216477155685425,2.302865505218506,100.0,100.0,1
DUZLOB.Cu(i).pdb,N,N,P,P,NE,NE,2.0596766471862793,2.0773520469665527,2.2364602088928223,2.2962911128997803,100.0,100.0,1
MOXJIT.Cu(i).pdb,N,N,N,N,NE,NE,2.0067601203918457,2.056591272354126,2.057126522064209,2.1232426166534424,100.0,100.0,1
PASCEU.Cu(i).pdb,CL,P,P,NE,NE,NE,2.2276875972747803,2.248060941696167,2.249866247177124,100.0,100.0,100.0,1
VICLIE.Cu(i).pdb,P,S,S,NE,NE,NE,2.198270559310913,2.246497392654419,2.263275146484375,100.0,100.0,100.0,1
FUFZUD.Cu(i).pdb,N,N,P,P,NE,NE,2.0903778076171875,2.1117072105407715,2.2190122604370117,2.2992002964019775,100.0,100.0,1
DIGWEV.Cu(i).pdb,N,N,NE,NE,NE,NE,2.0786900520324707,2.0847108364105225,100.0,100.0,100.0,100.0,1
KIFPOE01.Cu(i).pdb,P,P,S,NE,NE,NE,2.2635557651519775,2.2977020740509033,2.3528685569763184,100.0,100.0,100.0,1
RICMAS.Cu(i).pdb,N,N,N,N,NE,NE,1.9960404634475708,2.013068914413452,2.032900094985962,2.045166015625,100.0,100.0,1
ZURNUV.Cu(i).pdb,SE,SE,SE,SE,NE,NE,2.3792262077331543,2.3796539306640625,2.4189231395721436,2.4202680587768555,100.0,100.0,1
DONSEF.Cu(i).pdb,N,N,N,NE,NE,NE,1.849815845489502,2.032649040222168,2.0407090187072754,100.0,100.0,100.0,1
RAGHAJ.Cu(i).pdb,C,C,CL,CL,NE,NE,2.0455477237701416,2.1356561183929443,2.2648818492889404,2.4034626483917236,100.0,100.0,1
TOBFAS.Cu(i).pdb,N,C,C,BR,NE,NE,2.0011932849884033,2.040834426879883,2.05723237991333,2.3757247924804688,100.0,100.0,1
XAJKUR.Cu(i).pdb,N,N,P,P,NE,NE,2.001804828643799,2.100797176361084,2.2532968521118164,2.264167070388794,100.0,100.0,1
XOWBUH.Cu(i).pdb,N,N,NE,NE,NE,NE,2.036168098449707,2.16060471534729,100.0,100.0,100.0,100.0,1
TOQSEZ.Cu(i).pdb,O,C,NE,NE,NE,NE,1.8189224004745483,1.8615976572036743,100.0,100.0,100.0,100.0,1
QAWVUG.Cu(i).pdb,S,P,S,NE,NE,NE,2.2329022884368896,2.2375457286834717,2.2971127033233643,100.0,100.0,100.0,1
NIBYUT.Cu(i).pdb,S,CL,CL,NE,NE,NE,2.198481798171997,2.3122382164001465,2.319105625152588,100.0,100.0,100.0,1
CIVXUB02.Cu(i).pdb,S,NE,NE,NE,NE,NE,2.310487747192383,100.0,100.0,100.0,100.0,100.0,1
AJIGUW.Cu(i).pdb,N,N,NE,NE,NE,NE,1.8949819803237915,1.9011645317077637,100.0,100.0,100.0,100.0,1
FIGJUB.Cu(i).pdb,N,N,P,NE,NE,NE,2.008519172668457,2.008866548538208,2.1845715045928955,100.0,100.0,100.0,1
TAZGEG.Cu(i).pdb,S,NE,NE,NE,NE,NE,2.280346393585205,100.0,100.0,100.0,100.0,100.0,1
CLIMTC01.Cu(i).pdb,S,S,CL,NE,NE,NE,2.2127368450164795,2.2222583293914795,2.2902865409851074,100.0,100.0,100.0,1
OSODEI.Cu(i).pdb,N,NE,NE,NE,NE,NE,2.1677310466766357,100.0,100.0,100.0,100.0,100.0,1
HOYMUD02.Cu(i).pdb,N,N,S,NE,NE,NE,1.9219770431518555,2.075942277908325,2.3519668579101562,100.0,100.0,100.0,1
HIWSIS.Cu(i).pdb,N,N,N,N,NE,NE,1.9779059886932373,1.9779337644577026,2.0022928714752197,2.0083999633789062,100.0,100.0,1
WATKEI.Cu(i).pdb,S,S,S,NE,NE,NE,2.1790213584899902,2.2207441329956055,2.2281086444854736,100.0,100.0,100.0,1
IKIJEU.Cu(i).pdb,N,N,N,N,O,NE,2.0672101974487305,2.071575880050659,2.0730974674224854,2.119121551513672,2.1938955783843994,100.0,1
MUYFIV.Cu(i).pdb,N,N,N,N,NE,NE,1.8834208250045776,2.083200216293335,2.083200216293335,2.086888551712036,100.0,100.0,1
OHAFUY.Cu(i).pdb,N,N,N,N,NE,NE,2.0084855556488037,2.032045602798462,2.048590660095215,2.082421064376831,100.0,100.0,1
MAMYIJ.Cu(i).pdb,N,P,CL,CL,NE,NE,2.1858091354370117,2.219766616821289,2.411530017852783,2.413552761077881,100.0,100.0,1
YIPSOG.Cu(i).pdb,P,SE,NE,NE,NE,NE,2.2337262630462646,2.427870273590088,100.0,100.0,100.0,100.0,1
JAHFAD.Cu(i).pdb,N,N,C,C,NE,NE,1.9745063781738281,1.979514241218567,2.012406826019287,2.018080711364746,100.0,100.0,1
URUWEL.Cu(i).pdb,N,N,NE,NE,NE,NE,2.0444247722625732,2.4635963439941406,100.0,100.0,100.0,100.0,1
LADSOA.Cu(i).pdb,C,C,CL,CL,NE,NE,2.0469343662261963,2.0493428707122803,2.2766575813293457,2.30118465423584,100.0,100.0,1
ZEGWOB.Cu(i).pdb,S,S,BR,NE,NE,NE,2.229984760284424,2.2758145332336426,2.3687620162963867,100.0,100.0,100.0,1
OXUQOP02.Cu(i).pdb,P,P,CL,S,NE,NE,2.2899484634399414,2.2971158027648926,2.3423426151275635,2.3620684146881104,100.0,100.0,1
KAQKIX.Cu(i).pdb,P,S,S,NE,NE,NE,2.2209999561309814,2.35282039642334,2.3539679050445557,100.0,100.0,100.0,1
LAXFEZ.Cu(i).pdb,N,O,NE,NE,NE,NE,2.035351276397705,2.337855577468872,100.0,100.0,100.0,100.0,1
QEVKAE.Cu(i).pdb,P,P,NE,NE,NE,NE,2.278148889541626,2.2838687896728516,100.0,100.0,100.0,100.0,1
TEQWER.Cu(i).pdb,N,N,S,NE,NE,NE,1.9386000633239746,1.9486829042434692,2.3946478366851807,100.0,100.0,100.0,1
JOBDAG.Cu(i).pdb,N,NE,NE,NE,NE,NE,1.9882460832595825,100.0,100.0,100.0,100.0,100.0,1
TESWEW.Cu(i).pdb,N,N,N,N,NE,NE,1.9956327676773071,2.071601629257202,2.099583625793457,2.253154754638672,100.0,100.0,1
