ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
AYICIX.Fe(ii).pdb,C,P,S,P,S,S,1.7463624477386475,2.246176242828369,2.2509963512420654,2.2534430027008057,2.324469566345215,2.343642234802246,2
ZIJRER.Fe(ii).pdb,O,O,N,N,CL,CL,2.0797624588012695,2.0928878784179688,2.20223069190979,2.2076640129089355,2.4559109210968018,2.4724385738372803,2
ZIJRER.Fe(ii).pdb,N,NE,NE,NE,NE,NE,2.2086071968078613,100.0,100.0,100.0,100.0,100.0,2
TENRIR.Fe(ii).pdb,S,P,P,P,S,NE,2.192643404006958,2.1990437507629395,2.212858200073242,2.2529702186584473,2.326063871383667,100.0,2
QEJMEY.Fe(ii).pdb,C,C,C,C,C,C,2.001628875732422,2.009644031524658,2.015291213989258,2.0257492065429688,2.0278775691986084,2.0295915603637695,2
WAHPIG.Fe(ii).pdb,O,O,O,O,O,O,2.090252161026001,2.090252161026001,2.1115169525146484,2.1115174293518066,2.1376399993896484,2.1376402378082275,2
QEVLAI.Fe(ii).pdb,N,N,CL,CL,NE,NE,2.1256539821624756,2.1293551921844482,2.237837553024292,2.259866237640381,100.0,100.0,2
QEVLAI.Fe(ii).pdb,N,N,CL,CL,NE,NE,2.1064796447753906,2.130875825881958,2.2334208488464355,2.244684934616089,100.0,100.0,2
ZUYRAO01.Fe(ii).pdb,N,N,N,N,N,N,1.905156135559082,1.9062116146087646,1.964098572731018,1.9713852405548096,1.9735338687896729,1.9869195222854614,2
UWAZOI05.Fe(ii).pdb,N,NE,NE,NE,NE,NE,2.1876540184020996,100.0,100.0,100.0,100.0,100.0,2
UWAZOI05.Fe(ii).pdb,NE,NE,NE,NE,NE,NE,100.0,100.0,100.0,100.0,100.0,100.0,2
XOVDIW.Fe(ii).pdb,C,C,C,C,C,C,2.0433244705200195,2.049410581588745,2.0549447536468506,2.0570943355560303,2.0573880672454834,2.068188190460205,2
