ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
QUQJAO.Mn(ii).pdb,N,N,N,NE,NE,NE,2.151059627532959,2.152067184448242,2.314835786819458,100.0,100.0,100.0,2
QUQJAO.Mn(ii).pdb,N,NE,NE,NE,NE,NE,2.314835786819458,100.0,100.0,100.0,100.0,100.0,2
AWOQOT.Mn(ii).pdb,O,O,O,N,O,O,1.8727740049362183,1.8811664581298828,1.9750313758850098,2.003913402557373,2.2446351051330566,2.2746403217315674,2
AWOQOT.Mn(ii).pdb,O,O,O,O,O,O,2.1391406059265137,2.1397101879119873,2.145900249481201,2.147427558898926,2.2223918437957764,2.2233901023864746,2
AWOQOT.Mn(ii).pdb,O,O,O,N,O,O,1.87277352809906,1.8811664581298828,1.9750312566757202,2.0039143562316895,2.2446422576904297,2.274714469909668,2
RECMOB09.Mn(ii).pdb,N,N,N,N,CL,CL,2.282402515411377,2.2902872562408447,2.3346097469329834,2.3696095943450928,2.4439027309417725,2.455353021621704,2
TUVLEE.Mn(ii).pdb,O,O,CL,CL,NE,NE,2.1602535247802734,2.16100811958313,2.353656530380249,2.3650410175323486,100.0,100.0,2
QETBOJ.Mn(ii).pdb,O,O,O,N,N,O,2.1110451221466064,2.1720969676971436,2.180513620376587,2.2405824661254883,2.2473349571228027,2.361811399459839,2
QETBOJ.Mn(ii).pdb,O,O,NE,NE,NE,NE,2.1721701622009277,2.3622219562530518,100.0,100.0,100.0,100.0,2
OWOBIM.Mn(ii).pdb,O,O,O,N,N,N,2.1277620792388916,2.138089418411255,2.172283887863159,2.1843481063842773,2.1864545345306396,2.203937530517578,2
OWOBIM.Mn(ii).pdb,O,O,O,N,N,N,2.143502950668335,2.1469461917877197,2.1653249263763428,2.188504934310913,2.193118095397949,2.2016184329986572,2
PIFWEG.Mn(ii).pdb,N,N,N,N,N,N,2.110445261001587,2.171635866165161,2.2483925819396973,2.26438307762146,2.3205151557922363,2.353792667388916,2
CEHLOR.Mn(ii).pdb,O,O,N,N,CL,CL,2.1578540802001953,2.1578540802001953,2.4553797245025635,2.4553797245025635,2.497756242752075,2.497756242752075,2
XOTMAV.Mn(ii).pdb,C,O,C,C,NE,NE,2.166693687438965,2.2463457584381104,2.292510747909546,2.3009541034698486,100.0,100.0,2
