ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,res,oxd
pdb2ciw,8,8,8,8,8,8,2.068020820617676,2.081052541732788,2.143718957901001,2.1483864784240723,2.2475461959838867,2.264669179916382,1.15,2
pdb2phn,8,8,8,8,8,8,2.136646509170532,2.1390092372894287,2.145328998565674,2.1801373958587646,2.204460382461548,2.226835966110229,1.35,2
pdb2phn,8,8,8,8,8,8,2.135976791381836,2.1519134044647217,2.200319766998291,2.200989961624145,2.2099053859710693,2.218503952026367,1.35,2
pdb2phn,8,8,8,8,8,8,2.1144604682922363,2.1455836296081543,2.1526219844818115,2.154924154281616,2.2239489555358887,2.245192050933838,1.35,2
pdb2phn,8,8,8,8,8,8,2.0742645263671875,2.1592817306518555,2.175962209701538,2.178586721420288,2.219573497772217,2.2268266677856445,1.35,2
pdb6fb7,8,8,8,8,8,8,2.104618549346924,2.118262529373169,2.151206970214844,2.210240602493286,2.3179726600646973,2.480891466140747,2.69,2
pdb6fb7,8,8,8,8,8,8,2.086521625518799,2.176431894302368,2.198410987854004,2.207747459411621,2.265852689743042,2.284804105758667,2.69,2
pdb6fb7,8,8,8,8,8,8,2.0362141132354736,2.1360538005828857,2.169754266738892,2.187891721725464,2.278470277786255,2.43666934967041,2.69,2
pdb3vet,8,8,8,8,8,1,2.0348117351531982,2.150068521499634,2.171817779541016,2.192223072052002,2.2119786739349365,10.0,2.2,2
pdb5v3d,8,8,7,7,8,1,2.0071258544921875,2.027521133422852,2.1846601963043213,2.1991937160491943,2.3638036251068115,10.0,1.54,3
pdb5v3d,8,8,7,7,1,1,2.0595126152038574,2.103579044342041,2.1736977100372314,2.1738553047180176,10.0,10.0,1.54,2
pdb1rit,8,8,8,8,1,1,2.030200958251953,2.2934041023254395,2.423009395599365,2.430827140808105,10.0,10.0,2.85,2
pdb5wg9,8,8,7,8,8,8,2.0418477058410645,2.1321346759796143,2.187361478805542,2.2032618522644043,2.223262071609497,2.271572589874268,2.3,2
pdb5wg9,8,8,8,8,8,8,1.928392052650452,2.0720913410186768,2.2528395652771,2.306097984313965,2.325767755508423,2.4198215007781982,2.3,2
pdb5v07,8,8,8,8,8,8,2.092141628265381,2.0978705883026123,2.1977546215057373,2.210587501525879,2.22822642326355,2.313314914703369,2.15,2
pdb5v07,8,8,8,8,8,8,2.103556156158448,2.153127431869507,2.225897312164306,2.2415075302124023,2.2874205112457275,2.412304878234864,2.15,2
pdb5v07,8,8,8,8,8,8,2.1426689624786377,2.1529204845428467,2.1588854789733887,2.2201244831085205,2.228824615478516,2.3637170791625977,2.15,2
pdb5t2t,8,8,8,8,8,8,2.171589136123657,2.171833276748657,2.186365365982056,2.199935913085937,2.2175681591033936,2.224680662155152,1.97,2
pdb5t2t,8,8,8,8,8,8,2.172282457351685,2.192778348922729,2.19472599029541,2.197314739227295,2.203616142272949,2.211043119430542,1.97,2
pdb1x80,8,8,8,8,8,8,1.9552215337753296,2.0381088256835938,2.0987772941589355,2.2083077430725098,2.2349562644958496,2.3259315490722656,2.0,3
pdb3gg7,8,7,7,8,8,1,2.0370635986328125,2.10010290145874,2.1124136447906494,2.115114212036133,2.2299001216888428,10.0,1.5,2
pdb5d4g,8,8,8,7,8,8,1.7843188047409058,2.101413011550904,2.215906381607056,2.217881679534912,2.2179102897644043,2.279932975769043,2.08,2
pdb5d4g,8,8,8,8,8,8,1.854519963264465,2.017117500305176,2.130165100097656,2.147259473800659,2.2396786212921143,2.265931367874145,2.08,3
pdb1ap5,8,8,7,7,7,1,1.9422144889831543,2.032679796218872,2.033803224563598,2.087632179260254,2.125037670135498,10.0,2.2,3
pdb1ap5,8,7,8,7,7,1,1.9900717735290527,2.0030198097229004,2.1387856006622314,2.226943254470825,2.2289347648620605,10.0,2.2,3
pdb6bh4,7,8,8,8,7,7,1.953946232795716,2.129843711853028,2.1565606594085693,2.162555932998657,2.197198867797852,2.237779378890991,2.05,2
pdb5a9g,8,8,7,7,7,1,1.995342493057251,2.080166339874268,2.1565072536468506,2.177698373794556,2.214858055114746,10.0,1.35,2
pdb5a9g,8,8,7,7,7,1,1.95582115650177,2.131414890289306,2.1962532997131348,2.20580530166626,2.219475746154785,10.0,1.35,2
pdb3dtb,8,8,7,8,7,8,2.094233512878418,2.1428709030151367,2.188675165176392,2.2073867321014404,2.221918821334839,2.3652098178863525,1.3,2
pdb3dtb,8,8,8,8,8,8,2.122012138366699,2.125714063644409,2.138967275619507,2.219115734100342,2.3037984371185303,2.362210273742676,1.3,2
pdb3dtb,8,8,8,7,7,8,2.093346118927002,2.196481227874756,2.213651895523072,2.26516342163086,2.278231382369995,2.2928597927093506,1.3,2
pdb3dtb,8,8,8,8,8,8,2.1603689193725586,2.1700425148010254,2.2263023853302,2.236233711242676,2.246711015701294,2.2614552974700928,1.3,2
pdb5hn5,8,8,8,8,8,1,2.056613206863404,2.079636335372925,2.18848729133606,2.2427680492401123,2.2969112396240234,10.0,2.55,2
